id,categoria,edad,genero,estado_civil,ingreso_reportado,maximo_dias_mora,saldo_total,saldo_productos_activos,saldo_productos_pasivos,cantidad_productos_activos,cantidad_productos_pasivos,saldo_en_competencia,monto_credito,plazo_credito,calificacion_crediticia,garantia_credito,tasa_interes
761428,optima,39.0,masculino,casado,84206.0,5.0,611171.0,601904.0,9267.0,2.0,1.0,509320.03,1609000.0,285.0,3.0,hipotecaria,7.6
511267,optima,55.0,femenino,casado,115106.0,127.0,705437.0,660773.0,44664.0,2.0,2.0,3605408.84,530000.0,233.0,3.0,hipotecaria,6.67
785392,optima,48.0,femenino,viudo,55455.0,4.0,188772.0,162419.0,26353.0,6.0,2.0,89993.65,532000.0,68.0,3.0,fiduciaria,16.03
398245,privada,61.0,femenino,casado,,2.0,72131.0,19116.0,53015.0,2.0,2.0,384307.1,202000.0,51.0,3.0,fiduciaria,13.17
795813,optima,50.0,masculino,casado,101214.0,6.0,173546.0,137927.0,35619.0,1.0,2.0,13025.25,130000.0,53.0,4.0,fiduciaria,14.27
452756,optima,40.0,masculino,soltero,69273.0,149.0,2249788.0,2243717.0,6071.0,2.0,0.0,917216.95,519000.0,209.0,3.0,hipotecaria,7.14
232211,optima,38.0,masculino,viudo,39383.0,146.0,394369.0,332833.0,61536.0,4.0,1.0,597521.17,783000.0,191.0,4.0,hipotecaria,7.61
874350,optima,47.0,masculino,divorciado,140493.0,20.0,1356937.0,1308424.0,48513.0,2.0,0.0,61596.35,76000.0,57.0,3.0,fiduciaria_prendas,8.43
726444,optima,37.0,masculino,casado,93028.0,14.0,459521.0,459521.0,0.0,1.0,0.0,,536000.0,287.0,3.0,fiduciaria_bienes_inmuebles,7.11
562344,optima,44.0,masculino,casado,30712.0,32.0,450702.0,450612.0,90.0,2.0,2.0,,350000.0,30.0,4.0,fiduciaria,14.07
616730,optima,41.0,femenino,casado,32485.0,3.0,837456.0,822142.0,15314.0,2.0,2.0,16628.53,410000.0,68.0,4.0,fiduciaria,13.53
959156,privada,46.0,femenino,casado,55896.0,90.0,2311519.0,257451.0,2054068.0,1.0,3.0,1916779.31,44000.0,57.0,5.0,autoliquidable,6.72
843043,premier,63.0,femenino,casado,95046.0,24.0,322959.0,251695.0,71264.0,4.0,2.0,588893.14,142000.0,42.0,4.0,fiduciaria,12.95
608003,optima,60.0,femenino,casado,54913.0,14.0,30799.0,29848.0,951.0,3.0,2.0,85764.83,160000.0,59.0,5.0,fiduciaria,16.27
720137,optima,40.0,femenino,casado,,23.0,616259.0,599935.0,16324.0,5.0,1.0,567972.83,76000.0,67.0,4.0,fiduciaria,14.75
907926,optima,36.0,femenino,casado,80066.0,7.0,302005.0,278814.0,23191.0,3.0,1.0,120865.18,88000.0,64.0,5.0,fiduciaria,15.59
491839,optima,44.0,masculino,soltero,41813.0,0.0,441899.0,441886.0,13.0,1.0,2.0,223140.96,172000.0,76.0,3.0,prendas,8.28
942075,premier,43.0,femenino,soltero,85426.0,9.0,3705899.0,3255865.0,450034.0,3.0,3.0,429254.26,940000.0,290.0,2.0,hipotecaria,6.44
742215,premier,51.0,femenino,divorciado,90848.0,5.0,248250.0,69019.0,179231.0,2.0,4.0,184860.34,209000.0,94.0,2.0,fiduciaria_prendas,7.58
784552,optima,38.0,femenino,casado,26489.0,22.0,80569.0,52896.0,27673.0,1.0,1.0,724665.46,283000.0,73.0,2.0,fiduciaria_prendas,10.48
215934,optima,40.0,femenino,soltero,66243.0,8.0,467427.0,461887.0,5540.0,3.0,2.0,,301000.0,39.0,3.0,fiduciaria,20.06
970812,optima,28.0,masculino,casado,130726.0,5.0,278686.0,258512.0,20174.0,1.0,4.0,44108.93,156000.0,31.0,3.0,autoliquidable,7.91
444016,optima,49.0,femenino,casado,125205.0,8.0,280578.0,274520.0,6058.0,3.0,0.0,310750.81,329000.0,64.0,3.0,fiduciaria,23.53
188329,optima,79.0,masculino,casado,80030.0,51.0,234029.0,184702.0,49327.0,2.0,3.0,90543.02,399000.0,60.0,5.0,fiduciaria,12.47
501211,optima,39.0,femenino,casado,233058.0,24.0,136437.0,81367.0,55070.0,5.0,1.0,400257.56,397000.0,51.0,3.0,fiduciaria,17.83
632929,premier,35.0,masculino,soltero,87655.0,3.0,1741001.0,1609464.0,131537.0,3.0,3.0,579594.65,632000.0,55.0,4.0,fiduciaria,11.08
990200,optima,48.0,masculino,divorciado,,28.0,276584.0,259963.0,16621.0,4.0,2.0,462875.43,82000.0,64.0,4.0,fiduciaria,17.54
122017,premier,55.0,femenino,divorciado,57263.0,1.0,1360749.0,1022668.0,338081.0,2.0,2.0,3307171.69,372000.0,158.0,2.0,hipotecaria,6.32
860347,premier,41.0,femenino,casado,98519.0,45.0,16356.0,8053.0,8303.0,4.0,1.0,214191.77,372000.0,43.0,3.0,fiduciaria,14.88
539090,optima,39.0,femenino,casado,28392.0,25.0,217205.0,210499.0,6706.0,1.0,1.0,325618.87,218000.0,62.0,5.0,fiduciaria,14.58
433999,premier,50.0,femenino,casado,79690.0,42.0,999552.0,823636.0,175916.0,3.0,1.0,239855.38,300000.0,291.0,3.0,hipotecaria,6.39
719007,optima,46.0,femenino,divorciado,56728.0,0.0,55521.0,893.0,54628.0,2.0,1.0,,325000.0,43.0,3.0,fiduciaria,13.4
529547,optima,34.0,femenino,casado,28822.0,9.0,1476476.0,1475157.0,1319.0,2.0,0.0,671251.17,366000.0,69.0,5.0,fiduciaria,12.59
603957,optima,33.0,masculino,casado,,32.0,221759.0,190165.0,31594.0,3.0,2.0,567230.45,156000.0,68.0,3.0,fiduciaria_prendas,8.48
